month,month_name,origin_state_abbr,operating_airline,origin_airport,flights,cancelled_flights,on_time_flights,dep_delayed_any,dep_delayed_15,dep_delayed_30,dep_delayed_60,dep_delayed_120,arr_delayed_any,arr_delayed_15,arr_delayed_30,arr_delayed_60,arr_delayed_120,sum_departure_delay_min,sum_arrival_delay_min,sum_total_delay_min,arr_delay_rate_any,dep_delay_rate_any,cancel_rate,avg_arrival_delay_min,avg_departure_delay_min,avg_total_delay_min
1,January,CA,AS,SMF,68.0,9.0,38.0,13.0,12.0,9.0,4.0,1.0,21.0,10.0,6.0,3.0,1.0,786.0,715.0,638.0,0.3088235294117647,0.19117647058823528,0.1323529411764706,10.514705882352942,11.558823529411764,9.382352941176471
1,January,CA,AS,SNA,358.0,9.0,189.0,118.0,64.0,40.0,22.0,8.0,160.0,79.0,46.0,20.0,11.0,4192.0,4841.0,4296.0,0.44692737430167595,0.329608938547486,0.025139664804469275,13.522346368715084,11.70949720670391,12.0
1,January,CA,B6,BUR,31.0,0.0,21.0,9.0,8.0,3.0,1.0,0.0,10.0,5.0,3.0,1.0,0.0,299.0,214.0,195.0,0.3225806451612903,0.2903225806451613,0.0,6.903225806451613,9.64516129032258,6.290322580645161
1,January,CA,B6,LAX,842.0,3.0,503.0,294.0,185.0,118.0,64.0,23.0,336.0,190.0,118.0,51.0,24.0,12670.0,12846.0,11832.0,0.3990498812351544,0.3491686460807601,0.0035629453681710215,15.256532066508314,15.04750593824228,14.052256532066508
1,January,CA,B6,ONT,31.0,0.0,12.0,14.0,12.0,9.0,5.0,4.0,19.0,10.0,8.0,5.0,4.0,1824.0,1721.0,1646.0,0.6129032258064516,0.45161290322580644,0.0,55.516129032258064,58.83870967741935,53.096774193548384
1,January,CA,B6,PSP,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,25.0,69.0,69.0,1.0,0.6666666666666666,0.0,23.0,8.333333333333334,23.0
1,January,CA,B6,SAN,127.0,0.0,65.0,55.0,37.0,27.0,16.0,5.0,62.0,41.0,26.0,13.0,7.0,4387.0,4348.0,4229.0,0.4881889763779528,0.4330708661417323,0.0,34.23622047244095,34.54330708661417,33.2992125984252
1,January,CA,B6,SFO,338.0,0.0,177.0,110.0,63.0,40.0,23.0,10.0,161.0,79.0,46.0,22.0,11.0,4811.0,5567.0,5045.0,0.47633136094674555,0.3254437869822485,0.0,16.47041420118343,14.233727810650887,14.92603550295858
1,January,CA,B6,SMF,31.0,0.0,12.0,13.0,9.0,7.0,4.0,1.0,19.0,9.0,8.0,4.0,1.0,568.0,628.0,555.0,0.6129032258064516,0.41935483870967744,0.0,20.258064516129032,18.322580645161292,17.903225806451612
1,January,CA,DL,LAX,2760.0,10.0,1763.0,818.0,369.0,227.0,122.0,55.0,987.0,450.0,233.0,118.0,48.0,29237.0,31135.0,27742.0,0.3576086956521739,0.29637681159420287,0.0036231884057971015,11.280797101449275,10.593115942028986,10.05144927536232
1,January,CA,DL,LGB,28.0,0.0,17.0,12.0,4.0,4.0,3.0,0.0,11.0,5.0,3.0,3.0,0.0,318.0,303.0,263.0,0.39285714285714285,0.42857142857142855,0.0,10.821428571428571,11.357142857142858,9.392857142857142
1,January,CA,DL,OAK,55.0,1.0,46.0,9.0,6.0,5.0,2.0,2.0,8.0,5.0,3.0,2.0,2.0,728.0,639.0,609.0,0.14545454545454545,0.16363636363636364,0.01818181818181818,11.618181818181819,13.236363636363636,11.072727272727272
1,January,CA,DL,ONT,180.0,1.0,154.0,29.0,12.0,10.0,5.0,2.0,25.0,9.0,7.0,3.0,2.0,982.0,787.0,692.0,0.1388888888888889,0.16111111111111112,0.005555555555555556,4.372222222222222,5.455555555555556,3.8444444444444446
1,January,CA,DL,PSP,128.0,0.0,100.0,30.0,10.0,5.0,4.0,4.0,28.0,8.0,5.0,4.0,4.0,865.0,803.0,692.0,0.21875,0.234375,0.0,6.2734375,6.7578125,5.40625
1,January,CA,DL,SAN,664.0,1.0,483.0,195.0,75.0,47.0,28.0,10.0,180.0,81.0,44.0,21.0,8.0,5314.0,5048.0,4393.0,0.2710843373493976,0.2936746987951807,0.0015060240963855422,7.602409638554217,8.00301204819277,6.615963855421687
1,January,CA,DL,SFO,887.0,4.0,632.0,341.0,151.0,82.0,43.0,12.0,251.0,123.0,63.0,29.0,11.0,10090.0,8227.0,7394.0,0.2829763246899662,0.38444193912063135,0.004509582863585118,9.275084554678692,11.375422773393462,8.335963923337092
1,January,CA,DL,SJC,178.0,0.0,137.0,38.0,25.0,19.0,10.0,3.0,41.0,22.0,14.0,7.0,2.0,2451.0,2186.0,2062.0,0.2303370786516854,0.21348314606741572,0.0,12.280898876404494,13.769662921348315,11.584269662921349
1,January,CA,DL,SMF,247.0,1.0,168.0,62.0,41.0,29.0,20.0,7.0,78.0,41.0,28.0,20.0,6.0,3835.0,3863.0,3596.0,0.3157894736842105,0.25101214574898784,0.004048582995951417,15.639676113360323,15.526315789473685,14.558704453441296
